id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Streets,Marina Vale,hip-hop,confident,0.78,92,0.73,0.84,0.12
12,Velvet Horizon,Elara West,R&B,romantic,0.66,96,0.79,0.74,0.24
13,Neon Skyline,Pixel Drift,EDM,energetic,0.90,128,0.68,0.90,0.08
14,Golden Meadow,Willow Reed,country,peaceful,0.58,104,0.75,0.63,0.42
15,Sunline Drift,DJ Kairo,reggae,dreamy,0.62,88,0.70,0.71,0.33
16,Quiet Moonrise,Amara Sol,Afrobeats,peaceful,0.69,100,0.78,0.76,0.18
17,Winter Glass,Clara Voss,classical,sad,0.31,76,0.32,0.38,0.87
18,After the Rain,Northline,indie folk,romantic,0.54,84,0.66,0.57,0.61
19,Signal Bloom,The Static Choir,alternative,focused,0.73,118,0.61,0.69,0.27
